Control ID,Title,Description,Instructions,Frameworks,Category
AC.AC.V1,Access control,Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.,,"ccpa_v1, iso27001_direct_v1, nist_800-53_v5",ACCESS CONTROL AND AUTHORIZATION
AC.AGPU.V1,Access granting process used,"Implement a formal access granting process that ensures new access privileges are assigned based on the principle of least privilege, and require at least one employee to endorse the granting of new access.","#### Action ItemsIf you already have an access granting process in place, make sure to document it. Review it on a regular basis.If you don't have an access granting process now, create a simple process that works for your organization, and document that policy in a place that is easy for employees to view.### Examples of evidence that satisfy this control1. Documentation of the access granting process and evidence of the system used to manage access requests (e.g., request form, dedicated Slack channel). The process must clearly specify who is authorized to approve access requests, unless this is already defined elsewhere such as the access management policy.","cfr_21_part_11_v1, cis_ig1_v1, eu_dora_v1, gdpr_v1, hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, iso27001_v1, nist_800-53_v5, nist_800_171_v1, oneleet_pro_v1, pci_dss_level_1_v1, soc2_v1",ACCESS CONTROL AND AUTHORIZATION
AC.AMPE.V1,Access management policy established,"Systematic controls are established in the access management policy for managing user access rights, ensuring appropriate, authorized access to systems and data.","### Action itemsDocument an access management policy covering user lifecycle from onboarding through role changes and termination. Define processes for access requests, approvals, provisioning, and periodic reviews. Establish role-based access control framework with principle of least privilege. Create procedures for managing privileged access rights, emergency access, and service accounts.Document requirements for access monitoring, automatic revocation triggers, and regular access reviews.### Examples of evidence that satisfy this control1. Access management policy uploaded to the Oneleet policy builder.2. PDF upload of the access management policy with a dated version history.","cfr_21_part_11_v1, eu_dora_v1, gdpr_v1, hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, iso27001_direct_v1, iso27001_v1, iso42001_v1, nist_800-53_v5, nist_800_171_v1, oneleet_pro_v1, pci_dss_level_1_v1, soc2_v1",ACCESS CONTROL AND AUTHORIZATION
AC.ARSD.V1,Access requests to sensitive data required,"To access sensitive data, employees must submit access requests that are approved and monitored.","### Action itemsEstablish a formal access request process for requesting access to sensitive data, include justification for access, duration of access needed, and level of access required. Implement a standardized request form or ticketing system. ### Examples of evidence that satisfy this control1. Access Management policy uploaded to the Oneleet policy builder.2. A screenshot of your access approval system(e.g., Jira, ServiceNow) that contains the resource requested, the requester and approver, the justification for access, and the expiration/duration of the access. Screenshots must display a visible system date/time.","ccpa_v1, cis_ig1_v1, hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, iso27001_v1, nist_800-53_v5, nist_800_171_v1",ACCESS CONTROL AND AUTHORIZATION
AC.ARSI.V1,Access requests to sensitive infrastructure required,"To access sensitive infrastructure components, employees must submit access requests that are approved and monitored. This control helps ensure that only authorized personnel can access critical infrastructure, minimizing potential risks.","### Action items### Examples of evidence that satisfy this control1. Access Management policy uploaded to the Oneleet policy builder.2. A screenshot of your access approval system (e.g., Jira, ServiceNow) that contains the resource requested, the requester and approver, the justification for access, and the expiration/duration of the access. Screenshots must display a visible system date/time.","hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, iso27001_v1, nist_800-53_v5, nist_800_171_v1",ACCESS CONTROL AND AUTHORIZATION
AC.ARPE.V1,Access revoking process enforced,Implement a regular access review process to promptly remove access privileges from employees who no longer require them. This ensures that former employees or users do not retain unauthorized access to organizational resources.,"### Action itemsFirst, ensure that you have a process documented that outlines how you revoke access that is no longer needed. This can be as simple as an access review session each quarter where your organization does an audit on all systems and ensures that no one is over or under provisioned### Examples of evidence that satisfy this control1. Access Management policy uploaded to the Oneleet policy builder.2. A screenshot of your access revoking procedure detailing the steps taken when a user is removed.3. A screenshot showing a recurring calendar invite to review user access. Screenshots must display a visible system date/time.4. A dated log of previous access revocations.","cis_ig1_v1, eu_dora_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, iso27001_v1, nist_800-53_v5, nist_800_171_v1",ACCESS CONTROL AND AUTHORIZATION
AC.AR.V1,Access rights,"Access rights to information and other associated assets shall be provisioned, reviewed, modified and removed in accordance with the organization's topic-specific policy on and rules for access control.",,"iso27001_direct_v1, nist_800-53_v5",ACCESS CONTROL AND AUTHORIZATION
AC.ATSC.V1,Access to source code,"Read and write access to source code, development tools and software libraries shall be appropriately managed.",,"iso27001_direct_v1, nist_800-53_v5",ACCESS CONTROL AND AUTHORIZATION
AC.AIM.V1,Account inventory maintained,"An inventory of user accounts on critical and high-risk vendors that have access to in-scope systems and services is maintained, including essential details such as account owners, access privileges, associated roles, and vendor relationships where applicable. The inventory is reviewed and updated at least annually.","### Action itemsAn inventory in this control refers to a singular point of truth about all of the accounts in your product and your third party vendors. This could be a Notion table, a Google Sheets file, or a SAAS product that manages your accounts for you. The primary two facets of this control are that 1) **all** user accounts are listed as well as their access level and 2) this inventory is reviewed regularly and kept up to date.### Examples of evidence that satisfy this control1. Oneleet access review completed for all critical vendors.2. Account inventory listing all accounts on third party vendors and all accounts in your product, including the date the inventory was last reviewed.","cis_ig1_v1, eu_dora_v1, gdpr_v1, hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, iso27001_v1, nist_800-53_v5, nist_800_171_v1, oneleet_pro_v1, pci_dss_level_1_v1, soc2_v1",ACCESS CONTROL AND AUTHORIZATION
AC.ALAR.V1,Audit log access restricted,"Ensure audit information and audit logging tools are safeguarded against unauthorized access, modification, and deletion. In order to maintain the integrity and reliability of audit information, access to audit logging functionality must be restricted to a limited subset of privileged users or roles that have an explicit business need.","### Action Items- Limit access to audit logging tools to a subset of authorized personnel with defined roles.- Implement access controls to prevent unauthorized access, modification, or deletion of audit records, audit log settings, and audit reports.### Examples of evidence that satisfy this control1. Audit log management policy uploaded to the Oneleet policy builder.2. Logs showing all users with access to audit logs, their access levels, and the business need for the elevated access.3. Screenshots from your logging system's IAM/Permissions page(e.g., AWS IAM, Datadog User Roles) showing that access to the audit logs is granted only to specific users/roles. Screenshots must display a visible system date/time.","nist_800-53_v5, nist_800_171_v1",ACCESS CONTROL AND AUTHORIZATION
