FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,NYDFS Requirement Title,Target ID #,NYDFS Requirement Description,Notes
164.306(a),"Ensure Confidentiality, Integrity and Availability","Description Ensure CIA and protect against threats Regulation (a) General requirements. Covered entities must do the following: (1) Ensure the confidentiality, integrity, and availability of all electronic protected health information the covered entity creates, receives, maintains, or transmits. (2) Protect against any reasonably anticipated threats or hazards to the security or integrity of such information. (3) Protect against any reasonably anticipated uses or disclosures of such informat...",medium,functional,"HIPAA 164.306(a) requires Description Ensure CIA and protect against threats Regulation (a) General requirements. Covered entities must do the following: (1) Ensure the confidentiality, integrity, and av.... NYDFS 500.15 requires (a) As part of its cybersecurity program, based on its risk assessment, each covered entity shall implement controls, including encryption, to protect nonpublic information held.... Both address risk management. HIPAA is narrower and fits within NYDFS scope.",subset_of,6,500.15 Encryption of nonpublic information,500.15,"(a) As part of its cybersecurity program, based on its risk assessment, each covered entity shall implement controls, including encryption, to protect nonpublic information held or transmitted by the covered entity both in transit over external networks and at rest. (1) To the extent a covered entity determines that encryption of nonpublic information in transit over external networks is infeasible, the covered entity may instead secure such nonpublic information using effective alternative c...","Shared scope: risk management; data protection. HIPAA emphasizes ensure, general, against; NYDFS additionally includes encryption, nonpublic, 500."
164.306(b),Flexibility of Approach,"Description Reasonably consider factors in security compliance Regulation (b) Flexibility of approach. (1) Covered entities may use any security measures that allow the covered entity to reasonably and appropriately implement the standards and implementation specifications as specified in this subpart. (2) In deciding which security measures to use, a covered entity must take into account the following factors: (i) The size, complexity, and capabilities of the covered entity. (ii) The covered...",medium,functional,"HIPAA 164.306(b) requires Description Reasonably consider factors in security compliance Regulation (b) Flexibility of approach. (1) Covered entities may use any security measures that allow the covered.... NYDFS 500.2 requires (a) Cybersecurity program. Each covered entity shall maintain a cybersecurity program designed to protect the confidentiality, integrity and availability of the covered entity’s.... Both address access control. HIPAA is narrower and fits within NYDFS scope.",subset_of,6,500.2 Cybersecurity program,500.2,"(a) Cybersecurity program. Each covered entity shall maintain a cybersecurity program designed to protect the confidentiality, integrity and availability of the covered entity’s information systems. (b) The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions: (1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on...","Shared scope: access control; risk management; data protection. HIPAA emphasizes approach, flexibility, compliance; NYDFS additionally includes 500."
164.306(c),Standards,"Description CEs must comply with standards Regulation (c) Standards. A covered entity must comply with the standards as provided in this section and in § 164.308, § 164.310, § 164.312, § 164.314, and § 164.316 with respect to all electronic protected health information.",medium,functional,"HIPAA 164.306(c) requires Description CEs must comply with standards Regulation (c) Standards. A covered entity must comply with the standards as provided in this section and in § 164.308, § 164.310, § 1.... NYDFS 500.2 requires (a) Cybersecurity program. Each covered entity shall maintain a cybersecurity program designed to protect the confidentiality, integrity and availability of the covered entity’s.... Both address data protection. HIPAA is narrower and fits within NYDFS scope.",subset_of,6,500.2 Cybersecurity program,500.2,"(a) Cybersecurity program. Each covered entity shall maintain a cybersecurity program designed to protect the confidentiality, integrity and availability of the covered entity’s information systems. (b) The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions: (1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on...","Shared scope: data protection. HIPAA emphasizes standards, ces, comply; NYDFS additionally includes 500."
164.306(d),Implementation Specifications,"Description Required and Addressable Implementation Specification requirements Regulation (d) Implementation specifications. In this subpart: (1) Implementation specifications are required or addressable. If an implementation specification is required, the word ""Required"" appears in parentheses after the title of the implementation specification. If an implementation specification is addressable, the word ""Addressable"" appears in parentheses after the title of the implementation specification...",medium,functional,HIPAA 164.306(d) requires Description Required and Addressable Implementation Specification requirements Regulation (d) Implementation specifications. In this subpart: (1) Implementation specifications a.... NYDFS 500.9 requires (a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as requ.... Both address data protection. HIPAA is narrower and fits within NYDFS scope.,subset_of,6,500.9 Risk assessment,500.9,"(a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as required by this Part. Such risk assessment shall be updated as reasonably necessary to address changes to the covered entity’s information systems, nonpublic information or business operations. The covered entity’s risk assessment shall allow for revision of controls to respond to technological developments and evolving t...","Shared scope: data protection. HIPAA emphasizes implementation, specifications, addressable; NYDFS additionally includes assessment, risk, 500."
164.306(e),Maintenance,Description Ongoing review and modification of security measures Regulation (e) Maintenance. Security measures implemented to comply with standards and implementation specifications adopted under § 164.105 and this subpart must be reviewed and modified as needed to continue provision of reasonable and appropriate protection of electronic protected health information as described at § 164.316.,medium,functional,"HIPAA 164.306(e) requires Description Ongoing review and modification of security measures Regulation (e) Maintenance. Security measures implemented to comply with standards and implementation specificat.... NYDFS 500.7 requires As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide ac.... Both address audit and monitoring. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.7 Access privileges,500.7,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide access to nonpublic information and shall periodically review such access privileges. 23 CRR-NY 500.7 Current through June 30, 2020","Overlap: audit and monitoring; data protection. Divergence: HIPAA emphasizes maintenance, description, general; NYDFS emphasizes access, privileges, 500."
164.308(a)(1)(i),Security Management Process,"Description P&P to manage security violations Regulation Implement policies and procedures to prevent, detect, contain and correct security violations",medium,functional,"HIPAA 164.308(a)(1)(i) requires Description P&P to manage security violations Regulation Implement policies and procedures to prevent, detect, contain and correct security violations. NYDFS 500.2 requires (a) Cybersecurity program. Each covered entity shall maintain a cybersecurity program designed to protect the confidentiality, integrity and availability of the covered entity’s.... Both address incident response. HIPAA is narrower and fits within NYDFS scope.",subset_of,6,500.2 Cybersecurity program,500.2,"(a) Cybersecurity program. Each covered entity shall maintain a cybersecurity program designed to protect the confidentiality, integrity and availability of the covered entity’s information systems. (b) The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions: (1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on...","Shared scope: incident response; governance and policy. HIPAA emphasizes violations, administrative, contain; NYDFS additionally includes 500."
164.308(a)(1)(ii)(A),Risk Analysis,"Description Conduct vulnerability assessment Regulation Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality, integrity, and availability of electronic protected health information held by the covered entity.",medium,functional,"HIPAA 164.308(a)(1)(ii)(A) requires Description Conduct vulnerability assessment Regulation Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality, integrity,.... NYDFS 500.9 requires (a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as requ.... Both address risk management. The requirements are materially equivalent in scope and intent.",equal,9,500.9 Risk assessment,500.9,"(a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as required by this Part. Such risk assessment shall be updated as reasonably necessary to address changes to the covered entity’s information systems, nonpublic information or business operations. The covered entity’s risk assessment shall allow for revision of controls to respond to technological developments and evolving t...",Shared scope: risk management; data protection. No material divergence detected.
164.308(a)(1)(ii)(B),Risk Management,Description Implement security measures to reduce risk of security breaches Regulation Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level to comply with Sec 164.206(a).,medium,functional,HIPAA 164.308(a)(1)(ii)(B) requires Description Implement security measures to reduce risk of security breaches Regulation Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable.... NYDFS 500.9 requires (a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as requ.... Both address risk management. HIPAA is narrower and fits within NYDFS scope.,subset_of,6,500.9 Risk assessment,500.9,"(a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as required by this Part. Such risk assessment shall be updated as reasonably necessary to address changes to the covered entity’s information systems, nonpublic information or business operations. The covered entity’s risk assessment shall allow for revision of controls to respond to technological developments and evolving t...","Shared scope: risk management. HIPAA emphasizes implement, measures, reduce; NYDFS additionally includes assessment, 500, conduct."
164.308(a)(1)(ii)(C),Sanction Policy,Description Worker sanction for P&P violations Regulation Apply appropriate sanctions against workforce members who fail to comply with the security policies and procedures of the covered entity.,medium,functional,"HIPAA 164.308(a)(1)(ii)(C) requires Description Worker sanction for P&P violations Regulation Apply appropriate sanctions against workforce members who fail to comply with the security policies and procedures of t.... NYDFS 500.3 requires Cybersecurity policy. Each covered entity shall implement and maintain a written policy or policies, approved by a senior officer or the covered entity’s board of directors (or.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.3 Cybersecurity policy,500.3,"Cybersecurity policy. Each covered entity shall implement and maintain a written policy or policies, approved by a senior officer or the covered entity’s board of directors (or an appropriate committee thereof) or equivalent governing body, setting forth the covered entity’s policies and procedures for the protection of its information systems and nonpublic information stored on those information systems. The cybersecurity policy shall be based on the covered entity’s risk assessment and addr...","Overlap: governance and policy. Divergence: HIPAA emphasizes sanction, administrative, against; NYDFS emphasizes 500."
164.308(a)(1)(ii)(D),Information System Activity Review,"Description Procedures to review system activity Regulation Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports.",medium,functional,"HIPAA 164.308(a)(1)(ii)(D) requires Description Procedures to review system activity Regulation Implement procedures to regularly review records of information system activity, such as audit logs, access reports,.... NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: access control; governance and policy; audit and monitoring. Divergence: HIPAA emphasizes review, system, reports; NYDFS emphasizes authorized, training, users."
