FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,PCI DSS 4 Requirement Title,Target ID #,PCI DSS 4 Requirement Description,Notes
164.306(a),"Ensure Confidentiality, Integrity and Availability","Description Ensure CIA and protect against threats Regulation (a) General requirements. Covered entities must do the following: (1) Ensure the confidentiality, integrity, and availability of all electronic protected health information the covered entity creates, receives, maintains, or transmits. (2) Protect against any reasonably anticipated threats or hazards to the security or integrity of such information. (3) Protect against any reasonably anticipated uses or disclosures of such information that are not permitted or required under subpart E of this part. (4) Ensure compliance with this subpart by its workforce.",medium,functional,"HIPAA 164.306(a) requires Description Ensure CIA and protect against threats Regulation (a) General requirements.. PCI DSS 4 A3.2.2 requires Defined Approach Requirements: PCI DSS scope impact for all changes to systems or networks is determined, including additions of new systems and new network connections.. Both address security management and governance. Both address security management and governance. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Designated Entities Supplemental Validation,A3.2.2,"Defined Approach Requirements: PCI DSS scope impact for all changes to systems or networks is determined, including additions of new systems and new network connections. Processes include: Performing a formal PCI DSS impact assessment. Identifying applicable PCI DSS requirements to the system or network. Updating PCI DSS scope as appropriate. Documented sign-off of the results of the impact assessment by responsible personnel (as defined in A3.1.3). PCI DSS Reference: Scope of PCI DSS Requirements; Requirements 1-12 [CUSTOMIZED APPROACH OBJECTIVE]: This requirement is not eligible for the customized approach. [Purpose]: Changes to systems or networks can have a significant impact on PCI DSS scope. For example, changes to network security control rulesets can bring whole network segments into scope, or new systems may be added to the CDE that have to be appropriately protected. A formal impact assessment performed in advance of a change gives the entity assurance that the change will not adversely affect the security of the CDE. [Good Practice]: Processes to determine the potential impact that changes to systems and networks may have on an entity’s PCI DSS scope may be performed as part of a dedicated PCI DSS compliance program or may fall under an entity’s overarching compliance and/or governance program.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.198). Review for expert calibration.
164.306(b),Flexibility of Approach,"Description Reasonably consider factors in security compliance Regulation (b) Flexibility of approach. (1) Covered entities may use any security measures that allow the covered entity to reasonably and appropriately implement the standards and implementation specifications as specified in this subpart. (2) In deciding which security measures to use, a covered entity must take into account the following factors: (i) The size, complexity, and capabilities of the covered entity. (ii) The covered entity's technical infrastructure, hardware, and software security capabilities. (iii) The costs of security measures. (iv) The probability and criticality of potential risks to electronic protected health information.",high,functional,HIPAA 164.306(b) requires Description Reasonably consider factors in security compliance Regulation (b) Flexibility of approach.. PCI DSS 4 8.6.3 requires Defined Approach Requirements: Passwords/passphrases for any application and system accounts are protected against misuse as follows: Passwords/passphrases are changed periodically (at the frequency defined in the entity. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,4,Identify Users and Authenticate Access to System Components,8.6.3,"Defined Approach Requirements: Passwords/passphrases for any application and system accounts are protected against misuse as follows: Passwords/passphrases are changed periodically (at the frequency defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1) and upon suspicion or confirmation of compromise. Passwords/passphrases are constructed with sufficient complexity appropriate for how frequently the entity changes the passwords/passphrases. [CUSTOMIZED APPROACH OBJECTIVE]: Passwords/passphrases used by application and system accounts cannot be used indefinitely and are structured to resist brute-force and guessing attacks. [APPLICABILITY NOTES]: This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment. [Purpose]: Systems and application accounts pose more inherent security risk than user accounts because they often run in an elevated security context, with access to systems that may not be typically granted to user accounts, such as programmatic access to databases, etc. As a result, special consideration must be made to protect passwords/passphrases used for application and system accounts. [Good Practice]: Entities should consider the following risk factors when determining how to protect application and system passwords/passphrases against misuse: How securely the passwords/passphrases are stored (for example, whether they are stored in a password vault). Staff turnover. The number of people with access to the authentication factor. Whether the account can be used for interactive login. Whether the security posture of accounts is dynamically analyzed, and real-time access to resources is automatically determined accordingly (see Requirement 8.3.9). All these elements affect the level of risk for application and system accounts and might impact the security of systems accessed by the system and application accounts. Entities should correlate their selected change frequency for application and system passwords/passwords with their selected complexity for those passwords/passphrases – i.e., the complexity should be more rigorous when passwords/passphrases are changed infrequently and can be less rigorous when changed more frequently. For example, a longer change frequency is more justifiable when passwords/passphrases complexity is set to 36 alphanumeric characters with upper- and lowercase letters, numbers, and special characters. Best practices are to consider password changes at least once a year, a password/passphrase length of at least 15 characters, and complexity for the passwords/passphrase of alphanumeric characters, with upper- and lower-case letters, and special characters. [Further Information]: For information about variability and equivalency of password strength for passwords/passphrases of different formats, see the industry standards (for example, the current version of NIST SP 80063 Digital Identity Guidelines).",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.251). Review for expert calibration.
164.306(c),GENERAL,"Description CEs must comply with standards Regulation (c) Standards. A covered entity must comply with the standards as provided in this section and in § 164.308, § 164.310, § 164.312, § 164.314, and § 164.316 with respect to all electronic protected health information.",medium,functional,"HIPAA 164.306(c) requires Description CEs must comply with standards Regulation (c) Standards.. PCI DSS 4 3.7.9 requires Defined Approach Requirements: Additional requirement for service providers only: Where a service provider shares cryptographic keys with its customers for transmission or storage of account data, guidance on secure tran. Both address security objectives and safeguard effectiveness.",not_related,1,Protect Stored Account Data,3.7.9,"Defined Approach Requirements: Additional requirement for service providers only: Where a service provider shares cryptographic keys with its customers for transmission or storage of account data, guidance on secure transmission, storage and updating of such keys is documented and distributed to the service provider’s customers [CUSTOMIZED APPROACH OBJECTIVE]: Customers are provided with appropriate key management guidance whenever they receive shared cryptographic keys. [APPLICABILITY NOTES]: This requirement applies only when the entity being assessed is a service provider. [Purpose]: Providing guidance to customers on how to securely transmit, store, and update cryptographic keys can help prevent keys from being mismanaged or disclosed to unauthorized entities. [Further Information]: Numerous industry standards for key management are cited above in the Guidance for Requirements 3.7.1-3.7.8.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.053). Review for expert calibration.
164.306(d),Implementation Specifications,"Description Required and Addressable Implementation Specification requirements Regulation (d) Implementation specifications. In this subpart: (1) Implementation specifications are required or addressable. If an implementation specification is required, the word ""Required"" appears in parentheses after the title of the implementation specification. If an implementation specification is addressable, the word ""Addressable"" appears in parentheses after the title of the implementation specification. (2) When a standard adopted in § 164.308, § 164.310, § 164.312, § 164.314, or § 164.316 includes required implementation specifications, a covered entity must implement the implementation specifications. (3) When a standard adopted in § 164.308, § 164.310, § 164.312, § 164.314, or § 164.316 includes addressable implementation specifications, a covered entity must-- (i) Assess whether each implementation specification is a reasonable and appropriate safeguard in its environment, when analyzed with reference to the likely contribution to protecting the entity's electronic protected health information; and (ii) As applicable to the entity-- (A) Implement the implementation specification if reasonable and appropriate; or (B) If implementing the implementation specification is not reasonable and appropriate-- (1) Document why it would not be reasonable and appropriate to implement the implementation specification; and (2) Implement an equivalent alternative measure if reasonable and appropriate.",medium,functional,HIPAA 164.306(d) requires Description Required and Addressable Implementation Specification requirements Regulation (d) Implementation specifications.. PCI DSS 4 12.5.2.1 requires Defined Approach Requirements: Additional requirement for service providers only: PCI DSS scope is documented and confirmed by the entity at least once every six months and upon significant change to the in-scope environ. Both address security objectives and safeguard effectiveness.,not_related,1,Support Information Security with Organizational Policies and Programs,12.5.2.1,"Defined Approach Requirements: Additional requirement for service providers only: PCI DSS scope is documented and confirmed by the entity at least once every six months and upon significant change to the in-scope environment. At a minimum, the scoping validation includes all the elements specified in Requirement 12.5.2. [CUSTOMIZED APPROACH OBJECTIVE]: The accuracy of PCI DSS scope is verified to be continuously accurate by comprehensive analysis and appropriate technical measures. [APPLICABILITY NOTES]: This requirement applies only when the entity being assessed is a service provider. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment. [Purpose]: Service providers typically have access to greater volumes of cardholder data than do merchants, or can provide an entry point that can be exploited to then compromise multiple other entities. Service providers also typically have larger and more complex networks that are subject to more frequent change. The probability of overlooked changes to scope in complex and dynamic networks is greater in service providers’ environments. Validating PCI DSS scope more frequently is likely to discover such overlooked changes before they can be exploited by an attacker.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.065). Review for expert calibration.
164.306(e),GENERAL,Description Ongoing review and modification of security measures Regulation (e) Maintenance. Security measures implemented to comply with standards and implementation specifications adopted under § 164.105 and this subpart must be reviewed and modified as needed to continue provision of reasonable and appropriate protection of electronic protected health information as described at § 164.316.,medium,functional,HIPAA 164.306(e) requires Description Ongoing review and modification of security measures Regulation (e) Maintenance.. PCI DSS 4 12.4.2.1 requires Defined Approach Requirements: Additional requirement for service providers only: Reviews conducted in accordance with Requirement 12.. Both address audit logging and monitoring. Both address audit logging and monitoring. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Support Information Security with Organizational Policies and Programs,12.4.2.1,"Defined Approach Requirements: Additional requirement for service providers only: Reviews conducted in accordance with Requirement 12.4.2 are documented to include: Results of the reviews. Documented remediation actions taken for any tasks that were found to not be performed at Requirement 12.4.2. Review and sign-off of results by personnel assigned responsibility for the PCI DSS compliance program. [CUSTOMIZED APPROACH OBJECTIVE]: Findings from operational effectiveness reviews are evaluated by management; appropriate remediation activities are implemented. [APPLICABILITY NOTES]: This requirement applies only when the entity being assessed is a service provider. [Purpose]: The intent of these independent checks is to confirm whether security activities are being performed on an ongoing basis. These reviews can also be used to verify that appropriate evidence is being maintained—for example, audit logs, vulnerability scan reports, reviews of network security control rulesets—to assist in the entity’s preparation for its next PCI DSS assessment.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.177). Review for expert calibration.
164.308(a)(1)(i),Security Management Process,"Description P&P to manage security violations Regulation Implement policies and procedures to prevent, detect, contain and correct security violations",medium,functional,"HIPAA 164.308(a)(1)(i) requires Description P&P to manage security violations Regulation Implement policies and procedures to prevent, detect, contain and correct security violations. PCI DSS 4 12.8.1 requires Defined Approach Requirements: A list of all third-party service providers (TPSPs) with which account data is shared or that could affect the security of account data is maintained, including a description for each of th. Both address audit logging and monitoring. Both address audit logging and monitoring. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.8.1,"Defined Approach Requirements: A list of all third-party service providers (TPSPs) with which account data is shared or that could affect the security of account data is maintained, including a description for each of the services provided. [CUSTOMIZED APPROACH OBJECTIVE]: Records are maintained of TPSPs and the services provided. [APPLICABILITY NOTES]: The use of a PCI DSS compliant TPSP does not make an entity PCI DSS compliant, nor does it remove the entity’s responsibility for its own PCI DSS compliance. [Purpose]: Maintaining a list of all TPSPs identifies where potential risk extends outside the organization and defines the organization’s extended attack surface. [Examples]: Different types of TPSPs include those that: Store, process, or transmit account data on the entity’s behalf (such as payment gateways, payment processors, payment service providers (PSPs), and off-site storage providers). Manage system components included in the entity’s PCI DSS assessment (such as providers of network security control services, anti-malware services, and security incident and event management (SIEM); contact and call centers; web-hosting companies; and IaaS, PaaS, SaaS, and FaaS cloud providers). Could impact the security of the entity’s CDE (such as vendors providing support via remote access, and bespoke software developers).",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.173). Review for expert calibration.
164.308(a)(1)(ii)(A),Risk Analysis,"Description Conduct vulnerability assessment Regulation Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality, integrity, and availability of electronic protected health information held by the covered entity.",high,functional,"HIPAA 164.308(a)(1)(ii)(A) requires Description Conduct vulnerability assessment Regulation Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality, integrity, and availability of electronic protected h. PCI DSS 4 11.3.1.1 requires Defined Approach Requirements: All other applicable vulnerabilities (those not ranked as high-risk vulnerabilities or critical vulnerabilities according to the entity’s vulnerability risk rankings defined at Requirement . Both address risk management. Both address risk management. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,4,Test Security of Systems and Networks Regularly,11.3.1.1,"Defined Approach Requirements: All other applicable vulnerabilities (those not ranked as high-risk vulnerabilities or critical vulnerabilities according to the entity’s vulnerability risk rankings defined at Requirement 6.3.1) are managed as follows: • Addressed based on the risk defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1. • Rescans are conducted as needed. [CUSTOMIZED APPROACH OBJECTIVE]: Lower ranked vulnerabilities (lower than high or critical) are addressed at a frequency in accordance with the entity’s risk. [APPLICABILITY NOTES]: The timeframe for addressing lower-risk vulnerabilities is subject to the results of a risk analysis per Requirement 12.3.1 that includes (minimally) identification of assets being protected, threats, and likelihood and/or impact of a threat being realized. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment. [Purpose]: All vulnerabilities, regardless of criticality, provide a potential avenue of attack and must therefore be addressed periodically, with the vulnerabilities that expose the most risk addressed more quickly to limit the potential window of attack.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.261). Review for expert calibration.
164.308(a)(1)(ii)(B),Risk Management,Description Implement security measures to reduce risk of security breaches Regulation Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level to comply with Sec 164.206(a).,medium,functional,"HIPAA 164.308(a)(1)(ii)(B) requires Description Implement security measures to reduce risk of security breaches Regulation Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level to comply with Sec 1. PCI DSS 4 2.2.5 requires Defined Approach Requirements: If any insecure services, protocols, or daemons are present: Business justification is documented.. Both address risk management. Both address risk management. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Apply Secure Configurations to All System Components,2.2.5,"Defined Approach Requirements: If any insecure services, protocols, or daemons are present: Business justification is documented. Additional security features are documented and implemented that reduce the risk of using insecure services, protocols, or daemons. [CUSTOMIZED APPROACH OBJECTIVE]: System components cannot be compromised by exploiting insecure services, protocols, or daemons. [Purpose]: Ensuring that all insecure services, protocols, and daemons are adequately secured with appropriate security features makes it more difficult for malicious individuals to exploit common points of compromise within a network. [Good Practice]: Enabling security features before new system components are deployed will prevent insecure configurations from being introduced into the environment. Some vendor solutions may provide additional security functions to assist with securing an insecure process. [Further Information]: For guidance on services, protocols, or daemons considered to be insecure, refer to industry standards and guidance (for example, as published by NIST, ENISA, and OWASP).",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.225). Review for expert calibration.
164.308(a)(1)(ii)(C),Sanction Policy,Description Worker sanction for P&P violations Regulation Apply appropriate sanctions against workforce members who fail to comply with the security policies and procedures of the covered entity.,medium,functional,"HIPAA 164.308(a)(1)(ii)(C) requires Description Worker sanction for P&P violations Regulation Apply appropriate sanctions against workforce members who fail to comply with the security policies and procedures of the covered entity.. PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address security management and governance. Both address security management and governance. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.208). Review for expert calibration.
164.308(a)(1)(ii)(D),Information System Activity Review,"Description Procedures to review system activity Regulation Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports.",high,functional,"HIPAA 164.308(a)(1)(ii)(D) requires Description Procedures to review system activity Regulation Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports.. PCI DSS 4 10.2.1.5 requires Defined Approach Requirements: Audit logs capture all changes to identification and authentication credentials including, but not limited to: Creation of new accounts.. Both address access control.",subset_of,7,Log and Monitor All Access to System Components and Cardholder Data,10.2.1.5,"Defined Approach Requirements: Audit logs capture all changes to identification and authentication credentials including, but not limited to: Creation of new accounts. Elevation of privileges. All changes, additions, or deletions to accounts with administrative access. [CUSTOMIZED APPROACH OBJECTIVE]: Records of all changes to identification and authentication credentials are captured. [Purpose]: Logging changes to authentication credentials (including elevation of privileges, additions, and deletions of accounts with administrative access) provides residual evidence of activities. Malicious users may attempt to manipulate authentication credentials to bypass them or impersonate a valid account.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.282). Review for expert calibration.
