FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,HIPAA Requirement Title,Target ID #,HIPAA Requirement Description,Notes
500.2,500.2 Cybersecurity program,"(a) Cybersecurity program. Each covered entity shall maintain a cybersecurity program designed to protect the confidentiality, integrity and availability of the covered entity’s information systems. (b) The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions: (1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on...",high,functional,"NYDFS 500.2 requires (a) Cybersecurity program. Each covered entity shall maintain a cybersecurity program designed to protect the confidentiality, integrity and availability of the covered entity’s.... HIPAA 164.308(a)(4)(ii)(A) requires Description P&P to separate PHI from other operations Regulation If a health care clearinghouse is part of a larger organization, the clearinghouse must implement polices and pr.... Both address access control. NYDFS covers broader scope than the mapped HIPAA requirement.",superset_of,7,Isolation Health Clearinghouse Functions,164.308(a)(4)(ii)(A),"Description P&P to separate PHI from other operations Regulation If a health care clearinghouse is part of a larger organization, the clearinghouse must implement polices and procedures that protect the electronic protected health information of the clearinghouse from unauthorized access by the larger organization.",Auto-mapped via lexical + theme scoring (score=0.365). Manual review recommended for production use.
500.3,500.3 Cybersecurity policy,"Cybersecurity policy. Each covered entity shall implement and maintain a written policy or policies, approved by a senior officer or the covered entity’s board of directors (or an appropriate committee thereof) or equivalent governing body, setting forth the covered entity’s policies and procedures for the protection of its information systems and nonpublic information stored on those information systems. The cybersecurity policy shall be based on the covered entity’s risk assessment and addr...",high,functional,"NYDFS 500.3 requires Cybersecurity policy. Each covered entity shall implement and maintain a written policy or policies, approved by a senior officer or the covered entity’s board of directors (or.... HIPAA 164.310(a)(2)(i) requires Description Procedures to support emergency operations and recovery Regulation Establish (and implement as needed) procedures that allow facility access in support of restoratio.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,4,Contingency Operations,164.310(a)(2)(i),Description Procedures to support emergency operations and recovery Regulation Establish (and implement as needed) procedures that allow facility access in support of restoration of lost data under the disaster recovery plan and emergency mode operations plan in the event of an emergency.,Auto-mapped via lexical + theme scoring (score=0.365). Manual review recommended for production use.
500.4,500.4 Chief information security officer,"(a) Chief information security officer. Each covered entity shall designate a qualified individual responsible for overseeing and implementing the covered entity’s cybersecurity program and enforcing its cybersecurity policy (for purposes of this Part, chief information security officer or CISO). The CISO may be employed by the covered entity, one of its affiliates or a third party service provider. To the extent this requirement is met using a third party service provider or an affiliate, th...",medium,functional,"NYDFS 500.4 requires (a) Chief information security officer. Each covered entity shall designate a qualified individual responsible for overseeing and implementing the covered entity’s cybersecurity.... HIPAA 164.308(b)(1) requires Description CE implement BACs to ensure safeguards Regulation A covered entity, in accordance with § 164.306, may permit a business associate to create, receive, maintain, or tr.... Both address governance and policy. NYDFS is narrower and fits within the HIPAA requirement scope.",subset_of,6,Business Associate Contracts and Other Arrangements,164.308(b)(1),"Description CE implement BACs to ensure safeguards Regulation A covered entity, in accordance with § 164.306, may permit a business associate to create, receive, maintain, or transmit electronic protected health information on the covered entity's behalf only if the covered entity obtains satisfactory assurances, in accordance with § 164.314(a) that the business associate will appropriately safeguard the information. (2) This standard does not apply with respect to - (i) The transmission by a...",Auto-mapped via lexical + theme scoring (score=0.343). Manual review recommended for production use.
500.5,500.5 Penetration testing and vulnerability assessments,"The cybersecurity program for each covered entity shall include monitoring and testing, developed in accordance with the covered entity’s risk assessment, designed to assess the effectiveness of the covered entity’s cybersecurity program. The monitoring and testing shall include continuous monitoring or periodic penetration testing and vulnerability assessments. Absent effective continuous monitoring, or other systems to detect, on an ongoing basis, changes in information systems that may cre...",medium,functional,"NYDFS 500.5 requires The cybersecurity program for each covered entity shall include monitoring and testing, developed in accordance with the covered entity’s risk assessment, designed to assess the.... HIPAA 164.310(a)(2)(iii) requires Description Facility access procedures for personnel Regulation Implement procedures to control and validate a person's access to facilities based on their role or function, inc.... Both address governance and policy. NYDFS covers broader scope than the mapped HIPAA requirement.",superset_of,6,Access Control Validation Procedures,164.310(a)(2)(iii),"Description Facility access procedures for personnel Regulation Implement procedures to control and validate a person's access to facilities based on their role or function, including visitor control, and control of access to software programs for testing and revision.",Auto-mapped via lexical + theme scoring (score=0.330). Manual review recommended for production use.
500.6,500.6 Audit trail,"(a) Each covered entity shall securely maintain systems that, to the extent applicable and based on its risk assessment: (1) are designed to reconstruct material financial transactions sufficient to support normal operations and obligations of the covered entity; and (2) include audit trails designed to detect and respond to cybersecurity events that have a reasonable likelihood of materially harming any material part of the normal operations of the covered entity. (b) Each covered entity sha...",medium,functional,"NYDFS 500.6 requires (a) Each covered entity shall securely maintain systems that, to the extent applicable and based on its risk assessment: (1) are designed to reconstruct material financial trans.... HIPAA 164.308(a)(1)(ii)(D) requires Description Procedures to review system activity Regulation Implement procedures to regularly review records of information system activity, such as audit logs, access reports,.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Information System Activity Review,164.308(a)(1)(ii)(D),"Description Procedures to review system activity Regulation Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports.",Auto-mapped via lexical + theme scoring (score=0.325). Manual review recommended for production use.
500.7,500.7 Access privileges,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide access to nonpublic information and shall periodically review such access privileges. 23 CRR-NY 500.7 Current through June 30, 2020",high,functional,"NYDFS 500.7 requires As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide ac.... HIPAA 164.308(a)(4)(ii)(C) requires Description P&P to grant access to PHI Regulation Implement policies and procedures that, based upon the entity's access authorization policies, establish, document, review, and.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,4,Access Establishment and Modification,164.308(a)(4)(ii)(C),"Description P&P to grant access to PHI Regulation Implement policies and procedures that, based upon the entity's access authorization policies, establish, document, review, and modify a user's right of access to a workstation, transaction, program, or process.",Auto-mapped via lexical + theme scoring (score=0.392). Manual review recommended for production use.
500.8,500.8 Application security,"(a) Each covered entity’s cybersecurity program shall include written procedures, guidelines and standards designed to ensure the use of secure development practices for in-house developed applications utilized by the covered entity, and procedures for evaluating, assessing or testing the security of externally developed applications utilized by the covered entity within the context of the covered entity’s technology environment. (b) All such procedures, guidelines and standards shall be peri...",medium,functional,"NYDFS 500.8 requires (a) Each covered entity’s cybersecurity program shall include written procedures, guidelines and standards designed to ensure the use of secure development practices for in-hous.... HIPAA 164.308(a)(7)(ii)(D) requires Description Contingency planning periodic testing procedures Regulation Implement procedures for periodic testing and revision of contingency plans.. Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,Testing and Revision Procedures,164.308(a)(7)(ii)(D),Description Contingency planning periodic testing procedures Regulation Implement procedures for periodic testing and revision of contingency plans.,Auto-mapped via lexical + theme scoring (score=0.330). Manual review recommended for production use.
500.9,500.9 Risk assessment,"(a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as required by this Part. Such risk assessment shall be updated as reasonably necessary to address changes to the covered entity’s information systems, nonpublic information or business operations. The covered entity’s risk assessment shall allow for revision of controls to respond to technological developments and evolving t...",high,functional,"NYDFS 500.9 requires (a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as requ.... HIPAA 164.306(a) requires Description Ensure CIA and protect against threats Regulation (a) General requirements. Covered entities must do the following: (1) Ensure the confidentiality, integrity, and av.... Both address risk management. NYDFS covers broader scope than the mapped HIPAA requirement.",superset_of,7,"Ensure Confidentiality, Integrity and Availability",164.306(a),"Description Ensure CIA and protect against threats Regulation (a) General requirements. Covered entities must do the following: (1) Ensure the confidentiality, integrity, and availability of all electronic protected health information the covered entity creates, receives, maintains, or transmits. (2) Protect against any reasonably anticipated threats or hazards to the security or integrity of such information. (3) Protect against any reasonably anticipated uses or disclosures of such informat...",Auto-mapped via lexical + theme scoring (score=0.372). Manual review recommended for production use.
500.10,500.10 Cybersecurity personnel and intelligence,"(a) Cybersecurity personnel and intelligence. In addition to the requirements set forth in section 500.4(a) of this Part, each covered entity shall: (1) utilize qualified cybersecurity personnel of the covered entity, an affiliate or a third party service provider sufficient to manage the covered entity’s cybersecurity risks and to perform or oversee the performance of the core cybersecurity functions specified in section 500.2(b)(1)-(6) of this Part; (2) provide cybersecurity personnel with...",medium,functional,"NYDFS 500.10 requires (a) Cybersecurity personnel and intelligence. In addition to the requirements set forth in section 500.4(a) of this Part, each covered entity shall: (1) utilize qualified cybers.... HIPAA 164.316(b)(1) requires Description Document P&P and actions & activities Regulation Documentation. (i) Maintain the policies and procedures implemented to comply with this subpart in written (which ma.... Both address risk management. NYDFS is narrower and fits within the HIPAA requirement scope.",subset_of,6,Documentation,164.316(b)(1),"Description Document P&P and actions & activities Regulation Documentation. (i) Maintain the policies and procedures implemented to comply with this subpart in written (which may be electronic) form; and (ii) If an action, activity or assessment is required by this subpart to be documented, maintain a written (which may be electronic) record of the action, activity, or assessment.",Auto-mapped via lexical + theme scoring (score=0.321). Manual review recommended for production use.
500.11,500.11 Third party service provider security policy,"(a) Third party service provider policy. Each covered entity shall implement written policies and procedures designed to ensure the security of information systems and nonpublic information that are accessible to, or held by, third party service providers. Such policies and procedures shall be based on the risk assessment of the covered entity and shall address to the extent applicable: (1) the identification and risk assessment of third party service providers; (2) minimum cybersecurity prac...",high,functional,NYDFS 500.11 requires (a) Third party service provider policy. Each covered entity shall implement written policies and procedures designed to ensure the security of information systems and nonpublic.... HIPAA 164.310 (a)(1) requires Description P&P to limit access to systems and facilities Regulation Implement policies and procedures to limit physical access to its electronic information systems and the fac.... Both address access control. They overlap in objective but differ in implementation detail or scope.,intersects_with,4,Facility Access Controls,164.310 (a)(1),"Description P&P to limit access to systems and facilities Regulation Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed, while ensuring that properly authorized access is allowed.",Auto-mapped via lexical + theme scoring (score=0.351). Manual review recommended for production use.
