controlId,title,family,description,subFamily
GOV-01,Cybersecurity & Data Protection Governance Program,Cybersecurity & Data Protection Governance,Mechanisms exist to facilitate the implementation of cybersecurity and data protection governance controls.,Govern
GOV-01.1,Steering Committee & Program Oversight,Cybersecurity & Data Protection Governance,"Mechanisms exist to coordinate cybersecurity, data protection and business alignment through a steering committee or advisory board, comprised of key cybersecurity, data protection and business executives, which meets formally and on a regular basis.",Govern
GOV-01.2,Status Reporting To Governing Body,Cybersecurity & Data Protection Governance,Mechanisms exist to provide governance oversight reporting and recommendations to those entrusted to make executive decisions about matters considered material to the organization's cybersecurity and data protection program.,Govern
GOV-01.3,Commitment To Continual Improvements,Cybersecurity & Data Protection Governance,"Mechanisms exist to commit appropriate resources needed for continual improvement of the organization's cybersecurity and data protection program, including: (1) Staffing; (2) Budget; (3) Processes; and (4) Technologies.",Govern
GOV-02,Publishing Cybersecurity & Data Protection Documentation,Cybersecurity & Data Protection Governance,"Mechanisms exist to establish, maintain and disseminate cybersecurity and data protection policies, standards and procedures.",Govern
GOV-02.1,Exception Management,Cybersecurity & Data Protection Governance,"Mechanisms exist to prohibit exceptions to standards, except when the exception has been formally assessed for risk impact, approved and recorded.",Govern
GOV-03,Periodic Review & Update of Cybersecurity & Data Protection Program,Cybersecurity & Data Protection Governance,"Mechanisms exist to review the cybersecurity and data protection program, including policies, standards and procedures, at planned intervals or if significant changes occur to ensure their continuing suitability, adequacy and effectiveness.",Govern
GOV-04,Assigned Cybersecurity & Data Protection Responsibilities,Cybersecurity & Data Protection Governance,"Mechanisms exist to assign one or more qualified individuals with the mission and resources to centrally-manage, coordinate, develop, implement and maintain an enterprise-wide cybersecurity and data protection program.",Govern
GOV-04.1,Stakeholder Accountability Structure,Cybersecurity & Data Protection Governance,"Mechanisms exist to enforce an accountability structure so that appropriate teams and individuals are empowered, responsible and trained for mapping, measuring and managing data and technology-related risks.",Govern
GOV-04.2,Authoritative Chain of Command,Cybersecurity & Data Protection Governance,Mechanisms exist to establish an authoritative chain of command with clear lines of communication to remove ambiguity from individuals and teams related to managing data and technology-related risks.,Govern
GOV-05,Measures of Performance,Cybersecurity & Data Protection Governance,"Mechanisms exist to develop, report and monitor cybersecurity and data protection program measures of performance.",Govern
GOV-05.1,Key Performance Indicators (KPIs),Cybersecurity & Data Protection Governance,"Mechanisms exist to develop, report and monitor Key Performance Indicators (KPIs) to assist organizational management in performance monitoring and trend analysis of the cybersecurity and data protection program.",Govern
GOV-05.2,Key Risk Indicators (KRIs),Cybersecurity & Data Protection Governance,"Mechanisms exist to develop, report and monitor Key Risk Indicators (KRIs) to assist senior management in performance monitoring and trend analysis of the cybersecurity and data protection program.",Govern
GOV-06,Contacts With Authorities,Cybersecurity & Data Protection Governance,Mechanisms exist to identify and document appropriate contacts with relevant law enforcement and regulatory bodies.,Govern
GOV-07,Contacts With Groups & Associations,Cybersecurity & Data Protection Governance,"Mechanisms exist to establish contact with selected groups and associations within the cybersecurity and data privacy communities to: (1) Facilitate ongoing cybersecurity and data protection education and training for organizational personnel; (2) Maintain currency with recommended cybersecurity and data protection practices, techniques and technologies; and (3) Share current cybersecurity and/or data privacy-related information including threats, vulnerabilities and incidents.",Govern
GOV-08,Defining Business Context & Mission,Cybersecurity & Data Protection Governance,Mechanisms exist to define the context of its business model and document the organization's mission.,Govern
GOV-09,Define Control Objectives,Cybersecurity & Data Protection Governance,"Mechanisms exist to establish control objectives as the basis for the selection, implementation and management of the organization's internal control system.",Govern
GOV-10,Data Governance,Cybersecurity & Data Protection Governance,"Mechanisms exist to facilitate data governance to oversee the organization's policies, standards and procedures so that sensitive/regulated data is effectively managed and maintained in accordance with applicable statutory, regulatory and contractual obligations.",Govern
GOV-11,Purpose Validation,Cybersecurity & Data Protection Governance,"Mechanisms exist to monitor mission/business-critical Technology Assets, Applications and/or Services (TAAS) to ensure those resources are being used consistent with their intended purpose.",Govern
GOV-12,Forced Technology Transfer (FTT),Cybersecurity & Data Protection Governance,"Mechanisms exist to avoid and/or constrain the forced exfiltration of sensitive/regulated information (e.g., Intellectual Property (IP)) to the host government for purposes of market access or market management practices.",Govern
GOV-13,State-Sponsored Espionage,Cybersecurity & Data Protection Governance,"Mechanisms exist to constrain the host government's ability to leverage the organization's Technology Assets, Applications and/or Services (TAAS) for economic or political espionage and/or cyberwarfare activities.",Govern
GOV-14,Business As Usual (BAU) Secure Practices,Cybersecurity & Data Protection Governance,Mechanisms exist to incorporate cybersecurity and data protection principles into Business As Usual (BAU) practices through executive leadership involvement.,Govern
GOV-15,Operationalizing Cybersecurity & Data Protection Practices,Cybersecurity & Data Protection Governance,"Mechanisms exist to compel data and/or process owners to operationalize cybersecurity and data protection practices for each Technology Asset, Application and/or Service (TAAS) under their control.",Govern
GOV-15.1,Select Controls,Cybersecurity & Data Protection Governance,"Mechanisms exist to compel data and/or process owners to select required cybersecurity and data protection controls for each Technology Asset, Application and/or Service (TAAS) under their control.",Govern
GOV-15.2,Implement Controls,Cybersecurity & Data Protection Governance,"Mechanisms exist to compel data and/or process owners to implement required cybersecurity and data protection controls for each Technology Asset, Application and/or Service (TAAS) under their control.",Govern
GOV-15.3,Assess Controls,Cybersecurity & Data Protection Governance,"Mechanisms exist to compel data and/or process owners to assess if required cybersecurity and data protection controls for each Technology Asset, Application and/or Service (TAAS) under their control are implemented correctly and are operating as intended.",Govern
GOV-15.4,"Authorize Technology Assets, Applications and/or Services (TAAS)",Cybersecurity & Data Protection Governance,"Mechanisms exist to compel data and/or process owners to obtain authorization for the production use of each Technology Asset, Application and/or Service (TAAS) under their control.",Govern
GOV-15.5,Monitor Controls,Cybersecurity & Data Protection Governance,"Mechanisms exist to compel data and/or process owners to monitor Technology Assets, Applications and/or Services (TAAS) under their control on an ongoing basis for applicable threats and risks, as well as to ensure cybersecurity and data protection controls are operating as intended.",Govern
GOV-16,Materiality Determination,Cybersecurity & Data Protection Governance,Mechanisms exist to define materiality threshold criteria capable of designating an incident as material.,Govern
GOV-16.1,Material Risks,Cybersecurity & Data Protection Governance,Mechanisms exist to define criteria necessary to designate a risk as a material risk.,Govern
GOV-16.2,Material Threats,Cybersecurity & Data Protection Governance,Mechanisms exist to define criteria necessary to designate a threat as a material threat.,Govern
GOV-17,Cybersecurity & Data Protection Status Reporting,Cybersecurity & Data Protection Governance,"Mechanisms exist to submit status reporting of the organization's cybersecurity and/or data privacy program to applicable statutory and/or regulatory authorities, as required.",Govern
GOV-18,Quality Management System (QMS),Cybersecurity & Data Protection Governance,"Mechanisms exist to govern a Quality Management System (QMS) to ensure cybersecurity and data protection processes conform with applicable statutory, regulatory and/or contractual obligations.",Govern
GOV-19,Assurance,Cybersecurity & Data Protection Governance,"Mechanisms exist to define the basis for confidence that implemented practices conform to applicable security, compliance and resilience controls, where the control implementation performs as intended.",Govern
GOV-19.1,Assurance Levels (AL),Cybersecurity & Data Protection Governance,Mechanisms exist to utilize defined Assurance Levels (AL) for assessment activities to standardize the following assurance attributes: (1) Depth that addresses the rigor and level of detail of the assessment; and (2) Coverage that addresses the scope and breadth of the assessment.,Govern
GOV-19.2,Assessment Objectives (AO),Cybersecurity & Data Protection Governance,"Mechanisms exist to utilize defined Assessment Objectives (AO) to assess the implementation of requirements, when available.",Govern
GOV-20,"Mergers, Acquisitions & Divestitures (MA&D)",Cybersecurity & Data Protection Governance,"Mechanisms exist to define standardized practices to conduct Mergers, Acquisitions and Divestiture (MA&D) activities.",Govern
GOV-20.1,Virtual Data Room (VDR),Cybersecurity & Data Protection Governance,"Mechanisms exist to provision a Virtual Data Room (VDR), or similar technology, to securely share documentation among stakeholders to conduct Mergers, Acquisitions and Divestiture (MA&D) activities.",Govern
AAT-01,Artificial Intelligence (AI) & Autonomous Technologies Governance,Artificial Intelligence & Autonomous Technologies,"Mechanisms exist to ensure policies, processes, procedures and practices related to the mapping, measuring and managing of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks are in place, transparent and implemented effectively.",Govern
AAT-01.1,AI & Autonomous Technologies-Related Legal Requirements Definition,Artificial Intelligence & Autonomous Technologies,"Mechanisms exist to identify, understand, document and manage applicable statutory and regulatory requirements for Artificial Intelligence (AI) and Autonomous Technologies (AAT).",Govern
AAT-01.2,Trustworthy AI & Autonomous Technologies,Artificial Intelligence & Autonomous Technologies,"Mechanisms exist to ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) are designed to be reliable, safe, fair, secure, resilient, transparent, explainable and data privacy-enhanced to minimize emergent properties or unintended consequences.",Protect
AAT-01.3,AI & Autonomous Technologies Value Sustainment,Artificial Intelligence & Autonomous Technologies,Mechanisms exist to sustain the value of deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).,Identify
