controlId,title,family,description,subFamily,objectives,enhancements
AC-1,ACCESS CONTROL POLICY AND PROCEDURES,AC - ACCESS CONTROL,"The organization: a. Develops, documents, and disseminates to applicable personnel: 1. An access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and 2. Procedures to facilitate the implementation of the access control policy and associated access controls; and b. Reviews and updates (as necessary) the current: 1. Access control policy at least every three hundred sixty-five (365) days; and 2. Access control procedures at least every three hundred sixty-five (365) days.",AC-1,"AC-1-1: The organization develops, disseminates, and reviews/updates the access control policies and procedures to limit unnecessary or inappropriate access to PII.","GUIDANCE This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Access Control policies and procedures form the foundation for privacy protections for the identified uses of Personally Identifiable Information (PII). Privacy requirements commonly use the terms “adequate security” and “confidentiality” when referring to access controls and other security safeguards for PII. Applied together, these terms signify the need to make risk-based decisions based on the magnitude of harm (to both organizations and individuals) when determining applicable restrictions for PII. Refer to the definitions of “adequate security” in OMB Circular A-130, Appendix III, and “confidentiality” in NIST SP 800-37, Rev. 2, Appendix B. These definitions are consistent with Committee for National Security Systems Instruction (CNSSI) No. 4009. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for the organization or, conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures. This control supports and aligns with the provisions of the ACA and the requirements of 45 CFR §155.260, Privacy and security of personally identifiable information."
AC-2,ACCOUNT MANAGEMENT,AC - ACCESS CONTROL,"The organization: a. Identifies and selects the following types of information system accounts (e.g., individual, group, system, application, guest/anonymous, emergency, and temporary) to support organizational missions/business functions; b. Assigns account managers for information system accounts; c. Establishes conditions for group and role membership; d. Specifies authorized users of the information system, group and role membership, and access authorizations (i.e., privileges) and other attributes (as required) for each account; e. Requires approvals by defined personnel or roles (defined in the applicable security plan) for requests to create information system accounts; f. Creates, enables, modifies, disables, and removes information system accounts in accordance with the organization requirements, standards, and procedures; g. Monitors the use of information system accounts; h. Notifies account managers: 1. When accounts are no longer required; 2. When users are terminated or transferred; and 3. When individual information system usage or need-to-know changes; i. Authorizes access to the information system based on: 1. A valid access authorization; 2. Intended system usage; and 3. Other attributes as required by the organization or associated missions/business functions; j. Reviews accounts for compliance with account management requirements at least every ninety (90) days; and k. Establishes a process for reissuing shared/group account credentials (if deployed) when individuals are removed from the group.",AC-2,"AC-2-1: 1. Organizations should provide access only to the minimum amount of PII necessary for users to perform their duties. | AC-2-2: 2. Create, enable, modify, disable, and remove information system accounts in accordance with the requirement for each user to complete privacy training every 365 days otherwise the account would be disabled. | AC-2-3: 4. Remove or disable default user accounts. Rename active default accounts. | AC-2-4: 5. Implement centralized control of user access administrator functions. | AC-2-5: 6. Regulate the access provided to contractors and define security requirements for contractors. | AC-2-6: 7. Notify account managers within an organization-defined timeframe when temporary accounts are no longer required or when information system users are terminated or transferred or information system usage or need-to-know/need-to-share changes. | AC-2-7: 8. Prohibit use of guest, anonymous, and shared accounts for providing access to PII. | AC-2-8: 9. Prior to granting access to PII, users demonstrate a need for the PII in the performance of the user’s duties. | (+1 more)","GUIDANCE Information system account types include, for example, individual, shared, group, system, guest/anonymous, emergency, developer/manufacturer/vendor, temporary, and service. Some of the account management requirements listed above can be implemented by organizational information systems. The identification of authorized users of the information system and the specification of access privileges reflects the requirements in other security controls in the security plan. Users requiring administrative privileges on information system accounts receive additional scrutiny by appropriate organizational personnel (e.g., system owner, mission/business owner, or chief information security officer) responsible for approving such accounts and privileged access. Organizations may choose to define access privileges or other attributes by account, by type of account, or a combination of both. Other attributes required for authorizing access include, for example, restrictions on time-of-day, day-of-week, and point-of-origin. In defining other account attributes, organizations consider system-related requirements (e.g., scheduled maintenance, system upgrades) and mission/business requirements, (e.g., time zone differences, customer requirements, remote access to support travel requirements). Failure to consider these factors could affect information system availability. The identification of authorized users and access privileges include considerations of whether the user will need access to PII and whether such access may be permitted or required under applicable privacy laws and regulations. The purpose of this guidance is to establish requirements for user access to PII. Organizations should establish procedures for obtaining necessary PII to include during an emergency. Temporary and emergency accounts are accounts intended for short-term use. Organizations establish temporary accounts as a part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation. Organizations establish emergency accounts in response to crisis situations and with the need for rapid account activation. Therefore, emergency account activation may bypass normal account authorization processes. Emergency and temporary accounts are not to be confused with infrequently used accounts (e.g., local logon accounts used for special tasks defined by organizations or when network resources are unavailable). Such accounts remain available and are not subject to automatic disabling or removal dates. Conditions for disabling or deactivating accounts include, for example, (1) when shared/group, emergency, or temporary accounts are no longer required; or (2) when individuals are transferred or terminated. Some types of information system accounts may require specialized training."
AC-2(1),AUTOMATED SYSTEM ACCOUNT MANAGEMENT,AC - ACCESS CONTROL,The organization employs automated mechanisms to support the management of information system accounts.,AC-2,,"GUIDANCE The use of automated mechanisms can include, for example, using email or text messaging to automatically notify account managers when users are terminated or transferred, using the information system to monitor account usage, and using telephonic notification to report atypical information system account usage."
AC-2(2),REMOVAL OF TEMPORARY / EMERGENCY ACCOUNTS,AC - ACCESS CONTROL,The information system automatically disables emergency accounts within twenty-four (24) hours and temporary accounts with a fixed duration not to exceed sixty (60) days.,AC-2,,"GUIDANCE This control enhancement requires the removal of both temporary and emergency accounts automatically after a predefined period has elapsed, rather than at the convenience of the systems administrator."
AC-2(3),DISABLE INACTIVE ACCOUNTS,AC - ACCESS CONTROL,"The information system: a. Automatically disables inactive (non-customer) accounts within sixty (60) days of inactivity. b. Automatically disables inactive non-user accounts (e.g., accounts associated with devices such as service accounts) after an organization-defined period. The organization establishes the period for each type of account.",AC-2,,GUIDANCE
AC-2(4),AUTOMATED AUDIT ACTIONS,AC - ACCESS CONTROL,"The information system automatically audits account creation, modification, enabling, disabling, and removal actions, and notifies defined personnel or roles (defined in the applicable security plan).",AC-2,"AC-2(4)-1: Account management information sources include systems, appliances, devices, services, and applications (including databases).",GUIDANCE
AC-2(5),"INACTIVITY LOGOUT
FOR CLOUD ENVIRONMENT ONLY",AC - ACCESS CONTROL,The organization requires that users log out when the time-period of inactivity exceeds 90 minutes and at the end of the user’s normal work period.,AC-2,,GUIDANCE This control enhancement is behavior/policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period.
AC-2(7),ROLE-BASED SCHEMES,AC - ACCESS CONTROL,"The organization: a. Establishes and administers privileged user accounts in accordance with a role-based access scheme that organizes allowed information system access and privileges into roles; b. Establishes and administers application-specific privileged user accounts in accordance with a role-based access scheme that allows access based on user responsibilities associated with application use; c. Monitors privileged role assignments as well as application-specific privileged role assignments; and d. Inspects administrator groups, root accounts, and other system-related accounts on demand, and at least once every fourteen (14) days to ensure that unauthorized accounts have not been created. Privileged user roles associated with applications should be inspected every thirty (30) days.",AC-2,,"GUIDANCE Privileged roles are organization-defined roles assigned to individuals that allow those individuals to perform certain security-relevant functions that ordinary users are not authorized to perform. These privileged roles include, for example, key management, account management, network and system administration, database administration, and web administration. Application-privileged user roles are defined based on business functionality and are assigned to users based on their authorized responsibility when interacting with the application. Each role defined within the application identifies various privileges that the user may have based on business function(s)."
AC-2(9),RESTRICTIONS ON USE OF SHARED GROUPS / ACCOUNTS,AC - ACCESS CONTROL,"The organization only permits the use of shared/group accounts when a business need can be documented and approved, in advance, by the Authorizing Official (AO). When shared/group accounts are used, the applicable System Security Plan (SSP) must: a. Describe how the shared/group accounts are used; and b. Include compensating processes and procedures implemented to provide the ability to uniquely attribute account user activities. c. The organization only permits the use of shared/group accounts that meet the requirement to uniquely attribute user activity to an account.",AC-2,,"GUIDANCE Shared/group accounts do not provide the necessary accountability (such as non-repudiation) required to log and monitor access to sensitive information nor do they permit identification of individuals who have a need for access. Shared/group accounts also do not provide audit trails capable of associating a user with an action—eliminating the ability to establish non-repudiation. (Non-repudiation is a critical element of accountability and accuracy of information in systems, database or system history, and related logs and is important for investigating privacy incidents and breaches.) Access to PII is more effectively controlled when access controls are considered during system design and built-into or enforced by the system (i.e., automated controls). Shared/group accounts that do not allow for uniquely attributing user activities should not be used for information systems that contain PII. Shared/group accounts do not allow for the necessary accountability (such as non-repudiation) required to log and monitor access to PII nor do they permit identification of individuals who have a need for access. Shared/group accounts do not permit audit trails to associate a user with an action, eliminating the ability to establish non-repudiation. Prohibit use of guest, anonymous, and shared accounts for providing access to PII. Non-repudiation is a critical element of accountability and accuracy of information in systems, database or system history, and related logs and is important for investigating privacy incidents and breaches."
AC-2(10),SHARED/GROUP ACCOUNT CREDENTIAL TERMINATION,AC - ACCESS CONTROL,The information system updates shared/group account credentials when members leave the group.,AC-2,,GUIDANCE This control enhancement is intended to ensure that former group members do not retain access to the shared/group account.
