controlId,title,family,description,subFamily
500.2,500.2 Cybersecurity program,Cybersecurity,"(a) Cybersecurity program. Each covered entity shall maintain a cybersecurity program designed to protect the confidentiality, integrity and availability of the covered entity’s information systems. (b) The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions: (1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on the covered entity’s information systems; (2) use defensive infrastructure and the implementation of policies and procedures to protect the covered entity’s information systems, and the nonpublic information stored on those information systems, from unauthorized access, use or other malicious acts; (3) detect cybersecurity events; (4) respond to identified or detected cybersecurity events to mitigate any negative effects; (5) recover from cybersecurity events and restore normal operations and services; and (6) fulfill applicable regulatory reporting obligations. (c) A covered entity may meet the requirement(s) of this Part by adopting the relevant and applicable provisions of a cybersecurity program maintained by an affiliate, provided that such provisions satisfy the requirements of this Part, as applicable to the covered entity. (d) All documentation and information relevant to the covered entity’s cybersecurity program shall be made available to the superintendent upon request. 23 CRR-NY 500.2 Current through June 30, 2020",500.2
500.3,500.3 Cybersecurity policy,Cybersecurity,"Cybersecurity policy. Each covered entity shall implement and maintain a written policy or policies, approved by a senior officer or the covered entity’s board of directors (or an appropriate committee thereof) or equivalent governing body, setting forth the covered entity’s policies and procedures for the protection of its information systems and nonpublic information stored on those information systems. The cybersecurity policy shall be based on the covered entity’s risk assessment and address the following areas to the extent applicable to the covered entity’s operations: (a) information security; (b) data governance and classification; (c) asset inventory and device management; (d) access controls and identity management; (e) business continuity and disaster recovery planning and resources; (f) systems operations and availability concerns; (g) systems and network security; (h) systems and network monitoring; (i) systems and application development and quality assurance; (j) physical security and environmental controls; (k) customer data privacy; (l) vendor and third party service provider management; (m) risk assessment; and (n) incident response. 23 CRR-NY 500.3 Current through June 30, 2020",500.3
500.4,500.4 Chief information security officer,Cybersecurity,"(a) Chief information security officer. Each covered entity shall designate a qualified individual responsible for overseeing and implementing the covered entity’s cybersecurity program and enforcing its cybersecurity policy (for purposes of this Part, chief information security officer or CISO). The CISO may be employed by the covered entity, one of its affiliates or a third party service provider. To the extent this requirement is met using a third party service provider or an affiliate, the covered entity shall: (1) retain responsibility for compliance with this Part; (2) designate a senior member of the covered entity’s personnel responsible for direction and oversight of the third party service provider; and (3) require the third party service provider to maintain a cybersecurity program that protects the covered entity in accordance with the requirements of this Part. (b) Report. The CISO of each covered entity shall report in writing at least annually to the covered entity’s board of directors or equivalent governing body. If no such board of directors or equivalent governing body exists, such report shall be timely presented to a senior officer of the covered entity responsible for the covered entity’s cybersecurity program. The CISO shall report on the covered entity’s cybersecurity program and material cybersecurity risks. The CISO shall consider to the extent applicable: (1) the confidentiality of nonpublic information and the integrity and security of the covered entity’s information systems; (2) the covered entity’s cybersecurity policies and procedures; (3) material cybersecurity risks to the covered entity; (4) overall effectiveness of the covered entity’s cybersecurity program; and (5) material cybersecurity events involving the covered entity during the time period addressed by the report. 23 CRR-NY 500.4 Current through June 30, 2020",500.4
500.5,500.5 Penetration testing and vulnerability assessments,Cybersecurity,"The cybersecurity program for each covered entity shall include monitoring and testing, developed in accordance with the covered entity’s risk assessment, designed to assess the effectiveness of the covered entity’s cybersecurity program. The monitoring and testing shall include continuous monitoring or periodic penetration testing and vulnerability assessments. Absent effective continuous monitoring, or other systems to detect, on an ongoing basis, changes in information systems that may create or indicate vulnerabilities, covered entities shall conduct: (a) annual penetration testing of the covered entity’s information systems determined each given year based on relevant identified risks in accordance with the risk assessment; and (b) bi-annual vulnerability assessments, including any systematic scans or reviews of information systems reasonably designed to identify publicly known cybersecurity vulnerabilities in the covered entity’s information systems based on the risk assessment. 23 CRR-NY 500.5 Current through June 30, 2020",500.5
500.6,500.6 Audit trail,Cybersecurity,"(a) Each covered entity shall securely maintain systems that, to the extent applicable and based on its risk assessment: (1) are designed to reconstruct material financial transactions sufficient to support normal operations and obligations of the covered entity; and (2) include audit trails designed to detect and respond to cybersecurity events that have a reasonable likelihood of materially harming any material part of the normal operations of the covered entity. (b) Each covered entity shall maintain records required by paragraph (a)(1) of this section for not fewer than five years and shall maintain records required by paragraph (a)(2) of this section for not fewer than three years. 23 CRR-NY 500.6 Current through June 30, 2020",500.6
500.7,500.7 Access privileges,Cybersecurity,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide access to nonpublic information and shall periodically review such access privileges. 23 CRR-NY 500.7 Current through June 30, 2020",500.7
500.8,500.8 Application security,Cybersecurity,"(a) Each covered entity’s cybersecurity program shall include written procedures, guidelines and standards designed to ensure the use of secure development practices for in-house developed applications utilized by the covered entity, and procedures for evaluating, assessing or testing the security of externally developed applications utilized by the covered entity within the context of the covered entity’s technology environment. (b) All such procedures, guidelines and standards shall be periodically reviewed, assessed and updated as necessary by the CISO (or a qualified designee) of the covered entity. 23 CRR-NY 500.8 Current through June 30, 2020",500.8
500.9,500.9 Risk assessment,Cybersecurity,"(a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as required by this Part. Such risk assessment shall be updated as reasonably necessary to address changes to the covered entity’s information systems, nonpublic information or business operations. The covered entity’s risk assessment shall allow for revision of controls to respond to technological developments and evolving threats and shall consider the particular risks of the covered entity’s business operations related to cybersecurity, nonpublic information collected or stored, information systems utilized and the availability and effectiveness of controls to protect nonpublic information and information systems. (b) The risk assessment shall be carried out in accordance with written policies and procedures and shall be documented. Such policies and procedures shall include: (1) criteria for the evaluation and categorization of identified cybersecurity risks or threats facing the covered entity; (2) criteria for the assessment of the confidentiality, integrity, security and availability of the covered entity’s information systems and nonpublic information, including the adequacy of existing controls in the context of identified risks; and (3) requirements describing how identified risks will be mitigated or accepted based on the risk assessment and how the cybersecurity program will address the risks. 23 CRR-NY 500.9 Current through June 30, 2020",500.9
500.10,500.10 Cybersecurity personnel and intelligence,Cybersecurity,"(a) Cybersecurity personnel and intelligence. In addition to the requirements set forth in section 500.4(a) of this Part, each covered entity shall: (1) utilize qualified cybersecurity personnel of the covered entity, an affiliate or a third party service provider sufficient to manage the covered entity’s cybersecurity risks and to perform or oversee the performance of the core cybersecurity functions specified in section 500.2(b)(1)-(6) of this Part; (2) provide cybersecurity personnel with cybersecurity updates and training sufficient to address relevant cybersecurity risks; and (3) verify that key cybersecurity personnel take steps to maintain current knowledge of changing cybersecurity threats and countermeasures. (b) A covered entity may choose to utilize an affiliate or qualified third party service provider to assist in complying with the requirements set forth in this Part, subject to the requirements set forth in section 500.11 of this Part. 23 CRR-NY 500.10 Current through June 30, 2020",500.10
500.11,500.11 Third party service provider security policy,Cybersecurity,"(a) Third party service provider policy. Each covered entity shall implement written policies and procedures designed to ensure the security of information systems and nonpublic information that are accessible to, or held by, third party service providers. Such policies and procedures shall be based on the risk assessment of the covered entity and shall address to the extent applicable: (1) the identification and risk assessment of third party service providers; (2) minimum cybersecurity practices required to be met by such third party service providers in order for them to do business with the covered entity; (3) due diligence processes used to evaluate the adequacy of cybersecurity practices of such third party service providers; and (4) periodic assessment of such third party service providers based on the risk they present and the continued adequacy of their cybersecurity practices. (b) Such policies and procedures shall include relevant guidelines for due diligence and/or contractual protections relating to third party service providers including to the extent applicable guidelines addressing: (1) the third party service provider’s policies and procedures for access controls, including its use of multi-factor authentication as required by section 500.12 of this Part, to limit access to relevant information systems and nonpublic information; (2) the third party service provider’s policies and procedures for use of encryption as required by section 500.15 of this Part to protect nonpublic information in transit and at rest; (3) notice to be provided to the covered entity in the event of a cybersecurity event directly impacting the covered entity’s information systems or the covered entity’s nonpublic information being held by the third party service provider; and (4) representations and warranties addressing the third party service provider’s cybersecurity policies and procedures that relate to the security of the covered entity’s information systems or nonpublic information. (c) Limited exception. An agent, employee, representative or designee of a covered entity who is itself a covered entity need not develop its own third party information security policy pursuant to this section if the agent, employee, representative or designee follows the policy of the covered entity that is required to comply with this Part. 23 CRR-NY 500.11 Current through June 30, 2020",500.11
