controlId,title,family,description,subFamily
AC.AC.V1,Access control,ACCESS CONTROL AND AUTHORIZATION,Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.,ACCESS CONTROL AND AUTHORIZATION
AC.AGPU.V1,Access granting process used,ACCESS CONTROL AND AUTHORIZATION,"Implement a formal access granting process that ensures new access privileges are assigned based on the principle of least privilege, and require at least one employee to endorse the granting of new access.",ACCESS CONTROL AND AUTHORIZATION
AC.AMPE.V1,Access management policy established,ACCESS CONTROL AND AUTHORIZATION,"Systematic controls are established in the access management policy for managing user access rights, ensuring appropriate, authorized access to systems and data.",ACCESS CONTROL AND AUTHORIZATION
AC.ARSD.V1,Access requests to sensitive data required,ACCESS CONTROL AND AUTHORIZATION,"To access sensitive data, employees must submit access requests that are approved and monitored.",ACCESS CONTROL AND AUTHORIZATION
AC.ARSI.V1,Access requests to sensitive infrastructure required,ACCESS CONTROL AND AUTHORIZATION,"To access sensitive infrastructure components, employees must submit access requests that are approved and monitored. This control helps ensure that only authorized personnel can access critical infrastructure, minimizing potential risks.",ACCESS CONTROL AND AUTHORIZATION
AC.ARPE.V1,Access revoking process enforced,ACCESS CONTROL AND AUTHORIZATION,Implement a regular access review process to promptly remove access privileges from employees who no longer require them. This ensures that former employees or users do not retain unauthorized access to organizational resources.,ACCESS CONTROL AND AUTHORIZATION
AC.AR.V1,Access rights,ACCESS CONTROL AND AUTHORIZATION,"Access rights to information and other associated assets shall be provisioned, reviewed, modified and removed in accordance with the organization's topic-specific policy on and rules for access control.",ACCESS CONTROL AND AUTHORIZATION
AC.ATSC.V1,Access to source code,ACCESS CONTROL AND AUTHORIZATION,"Read and write access to source code, development tools and software libraries shall be appropriately managed.",ACCESS CONTROL AND AUTHORIZATION
AC.AIM.V1,Account inventory maintained,ACCESS CONTROL AND AUTHORIZATION,"An inventory of user accounts on critical and high-risk vendors that have access to in-scope systems and services is maintained, including essential details such as account owners, access privileges, associated roles, and vendor relationships where applicable. The inventory is reviewed and updated at least annually.",ACCESS CONTROL AND AUTHORIZATION
AC.ALAR.V1,Audit log access restricted,ACCESS CONTROL AND AUTHORIZATION,"Ensure audit information and audit logging tools are safeguarded against unauthorized access, modification, and deletion. In order to maintain the integrity and reliability of audit information, access to audit logging functionality must be restricted to a limited subset of privileged users or roles that have an explicit business need.",ACCESS CONTROL AND AUTHORIZATION
AC.AI.V1,Authentication information,ACCESS CONTROL AND AUTHORIZATION,"Allocation and management of authentication information shall be controlled by a management process, including advising personnel on the appropriate handling of authentication information.",ACCESS CONTROL AND AUTHORIZATION
AC.AIAP.V1,Authenticators initially and periodically tested,ACCESS CONTROL AND AUTHORIZATION,Initially and periodically test devices (tokens/cards) that bear or generate identification code/password information to ensure proper function and no unauthorized alteration.,ACCESS CONTROL AND AUTHORIZATION
AC.ADAP.V1,Automated decision-making and profiling has oversight,ACCESS CONTROL AND AUTHORIZATION,"This requirements establishes safeguards for automated decision-making processes, including profiling, to align with GDPR requirements and protect data subjects' rights.",ACCESS CONTROL AND AUTHORIZATION
AC.AULE.V1,Automatic user logoff enforced,ACCESS CONTROL AND AUTHORIZATION,Implement an automatic logoff mechanism to terminate user sessions after a period of inactivity.,ACCESS CONTROL AND AUTHORIZATION
AC.AUST.V1,Automatic user session termination enforced,ACCESS CONTROL AND AUTHORIZATION,"User sessions must be automatically terminated all defined events outlined in the Compliance NIST 800-171 Policy. Conditions may include inactivity for a specified period (e.g., 15 minutes), time-of-day restrictions on access, and responses to suspicious activity or security incidents. Automatic session termination ensures system security by ending processes associated with the user's logical session.",ACCESS CONTROL AND AUTHORIZATION
AC.BSUE.V1,Biometric signature uniqueness ensured,ACCESS CONTROL AND AUTHORIZATION,Design biometric‑based signatures so they cannot be used by anyone other than the genuine owner.,ACCESS CONTROL AND AUTHORIZATION
AC.CTPH.V1,Changes to PHI logged,ACCESS CONTROL AND AUTHORIZATION,"Track all changes made to PHI, including additions, modifications, and deletions, to ensure data integrity and enable audit trails.",ACCESS CONTROL AND AUTHORIZATION
AC.CLRE.V1,Credential loss response executed,ACCESS CONTROL AND AUTHORIZATION,Follow loss‑management procedures to deauthorize lost/stolen/missing tokens or devices and issue replacements under rigorous controls.,ACCESS CONTROL AND AUTHORIZATION
AC.DAAU.V1,Dedicated administrator accounts used,ACCESS CONTROL AND AUTHORIZATION,"Restrict administrator privileges to dedicated administrator accounts on enterprise assets. Conduct general computing activities, such as internet browsing, email, and productivity suite use, from the user’s primary, non-privileged account.",ACCESS CONTROL AND AUTHORIZATION
AC.DAD.V1,Default accounts disabled,ACCESS CONTROL AND AUTHORIZATION,"Disable default accounts on enterprise assets and software, such as root, administrator, and other pre-configured vendor accounts, where possible. Example implementations can include: disabling default accounts or making them unusable.",ACCESS CONTROL AND AUTHORIZATION
AC.DAD.V1,Dormant accounts disabled,ACCESS CONTROL AND AUTHORIZATION,Monitor for dormant user accounts and disable or remove accounts that have been inactive for an extended period.,ACCESS CONTROL AND AUTHORIZATION
AC.ESCM.V1,Electronic signature components managed,ACCESS CONTROL AND AUTHORIZATION,Require multi‑factor or multi-component e‑signature mechanisms for non‑biometric systems.,ACCESS CONTROL AND AUTHORIZATION
AC.EAPE.V1,Emergency access procedure established,ACCESS CONTROL AND AUTHORIZATION,Establish and maintain a procedure for granting authorized personnel access to critical information during emergencies.,ACCESS CONTROL AND AUTHORIZATION
AC.EARR.V1,Employee access regularly reviewed,ACCESS CONTROL AND AUTHORIZATION,Employee access is reviewed at least annually to ensure that access privileges are appropriate and that former employees or users do not retain unauthorized access.,ACCESS CONTROL AND AUTHORIZATION
AC.IAMI.V1,IAM Inventory Maintained,ACCESS CONTROL AND AUTHORIZATION,"Maintain a centralized inventory of all individuals, groups, roles, services, and devices with access to organizational systems.",ACCESS CONTROL AND AUTHORIZATION
AC.IM.V1,Identity management,ACCESS CONTROL AND AUTHORIZATION,The full life cycle of identities shall be managed.,ACCESS CONTROL AND AUTHORIZATION
AC.IAR.V1,Information access restriction,ACCESS CONTROL AND AUTHORIZATION,Access to information and other associated assets shall be restricted in accordance with the established topic-specific policy on access control.,ACCESS CONTROL AND AUTHORIZATION
AC.KIM.V1,Key inventory maintained,ACCESS CONTROL AND AUTHORIZATION,"Maintain an inventory of all shared or production access tokens to ensure proper management, tracking, and security of our key assets.",ACCESS CONTROL AND AUTHORIZATION
AC.MRFA.V1,MFA required for administrative access,ACCESS CONTROL AND AUTHORIZATION,Require multi-factor authentication (MFA) for administrative access to critical systems and services. MFA mitigates the risk of unauthorized administrative access and helps protect sensitive administrative functions.,ACCESS CONTROL AND AUTHORIZATION
AC.MUOA.V1,MFA required for applications,ACCESS CONTROL AND AUTHORIZATION,"Require all externally-exposed enterprise or third-party applications to enforce MFA, where supported. Enforcing MFA through a directory service or SSO provider is a satisfactory implementation of this safeguard.",ACCESS CONTROL AND AUTHORIZATION
AC.MRFC.V1,MFA required for critical services,ACCESS CONTROL AND AUTHORIZATION,Multi-factor authentication (MFA) is required for accessing critical services and infrastructure unless a documented exception is in place where MFA is not supported.,ACCESS CONTROL AND AUTHORIZATION
