controlId,title,family,description,subFamily,parameters,objectives,enhancements
AC-1,AC-01 - Policy and Procedures,Access Control,"a. Develop, document, and disseminate to : 1. access control policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the access control policy and the associated access controls; b. Designate an to manage the development, documentation, and dissemination of the access control policy and procedures; and c. Review and update the current access control: 1. Policy and following ; and 2. Procedures and following . Discussion Access control policy and procedures address the controls in the AC family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of access control policy and procedures. Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies reflecting the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. Events that may precipitate an update to access control policy and procedures include assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure.",AC-1,ac-1_prm_1: organization-defined personnel or roles | ac-01_odp.01: personnel or roles | ac-01_odp.02: personnel or roles | ac-01_odp.03: [Selection (one or more): organization-level; mission/business process-level; system-level] | ac-01_odp.04: official | ac-01_odp.05: frequency | ac-01_odp.06: events | ac-01_odp.07: frequency | (+1 more),AC-01a.[01]: An access control policy is developed and documented; | AC-01a.[02]: The access control policy is disseminated to ; | AC-01a.[03]: Access control procedures to facilitate the implementation of the access control policy and associated controls are developed and documented; | AC-01a.[04]: The access control procedures are disseminated to ; | AC-01a.01(a)[01]: The access control policy addresses purpose; | AC-01a.01(a)[02]: The access control policy addresses scope; | AC-01a.01(a)[03]: The access control policy addresses roles; | AC-01a.01(a)[04]: The access control policy addresses responsibilities; | (+9 more),
AC-2,AC-02 - Account Management,Access Control,"a. Define and document the types of accounts allowed and specifically prohibited for use within the system; b. Assign account managers; c. Require for group and role membership; d. Specify: 1. Authorized users of the system; 2. Group and role membership; and 3. Access authorizations (i.e., privileges) and for each account; e. Require approvals by for requests to create accounts; f. Create, enable, modify, disable, and remove accounts in accordance with ; g. Monitor the use of accounts; h. Notify account managers and within: 1. when accounts are no longer required; 2. when users are terminated or transferred; and 3. when system usage or need-to-know changes for an individual; i. Authorize access to the system based on: 1. A valid access authorization; 2. Intended system usage; and 3. ; j. Review accounts for compliance with account management requirements ; k. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and l. Align account management processes with personnel termination and transfer processes. Discussion Examples of system account types include individual, shared, group, system, guest, anonymous, emergency, developer, temporary, and service. Identification of authorized system users and the specification of access privileges reflect the requirements in other controls in the security plan. Users requiring administrative privileges on system accounts receive additional scrutiny by organizational personnel responsible for approving such accounts and privileged access, including system owner, mission or business owner, senior agency information security officer, or senior agency official for privacy. Types of accounts that organizations may wish to prohibit due to increased risk include shared, group, emergency, anonymous, temporary, and guest accounts. Where access involves personally identifiable information, security programs collaborate with the senior agency official for privacy to establish the specific conditions for group and role membership; specify authorized users, group and role membership, and access authorizations for each account; and create, adjust, or remove system accounts in accordance with organizational policies. Policies can include such information as account expiration dates or other factors that trigger the disabling of accounts. Organizations may choose to define access privileges or other attributes by account, type of account, or a combination of the two. Examples of other attributes required for authorizing access include restrictions on time of day, day of week, and point of origin. In defining other system account attributes, organizations consider system-related requirements and mission/business requirements. Failure to consider these factors could affect system availability. Temporary and emergency accounts are intended for short-term use. Organizations establish temporary accounts as part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation. Organizations establish emergency accounts in response to crisis situations and with the need for rapid account activation. Therefore, emergency account activation may bypass normal account authorization processes. Emergency and temporary accounts are not to be confused with infrequently used accounts, including local logon accounts used for special tasks or when network resources are unavailable (may also be known as accounts of last resort). Such accounts remain available and are not subject to automatic disabling or removal dates. Conditions for disabling or deactivating accounts include when shared/group, emergency, or temporary accounts are no longer required and when individuals are transferred or terminated. Changing shared/group authenticators when members leave the group is intended to ensure that former group members do not retain access to the shared or group account. Some types of system accounts may require specialized training.",AC-2,"ac-02_odp.01: prerequisites and criteria | ac-02_odp.02: attributes (as required) | ac-02_odp.03: personnel or roles | ac-02_odp.04: policy, procedures, prerequisites, and criteria | ac-02_odp.05: personnel or roles | ac-02_odp.06: time period | ac-02_odp.07: time period | ac-02_odp.08: time period | (+2 more)","AC-02a.[01]: Account types allowed for use within the system are defined and documented; | AC-02a.[02]: Account types specifically prohibited for use within the system are defined and documented; | AC-02b.: Account managers are assigned; | AC-02c.: for group and role membership are required; | AC-02d.01: Authorized users of the system are specified; | AC-02d.02: Group and role membership are specified; | AC-02d.03[01]: Access authorizations (i.e., privileges) are specified for each account; | AC-02d.03[02]: are specified for each account; | (+18 more)",Enhancements AC-2(1) - Automated System Account Management AC-2(2) - Automated Temporary and Emergency Account Management AC-2(3) - Disable Accounts AC-2(4) - Automated Audit Actions AC-2(5) - Inactivity Logout AC-2(6) - Dynamic Privilege Management AC-2(7) - Privileged User Accounts AC-2(8) - Dynamic Account Management AC-2(9) - Restrictions on Use of Shared and Group Accounts AC-2(11) - Usage Conditions AC-2(12) - Account Monitoring for Atypical Usage AC-2(13) - Disable Accounts for High-risk Individuals
AC-2(1),AC-02(01) - Automated System Account Management,Access Control,"Support the management of system accounts using . Discussion Automated system account management includes using automated mechanisms to create, enable, modify, disable, and remove accounts; notify account managers when an account is created, enabled, modified, disabled, or removed, or when users are terminated or transferred; monitor system account usage; and report atypical system account usage. Automated mechanisms can include internal system functions and email, telephonic, and text messaging notifications.",AC-2,ac-02.01_odp: automated mechanisms,AC-02(01): The management of system accounts is supported using .,
AC-2(2),AC-02(02) - Automated Temporary and Emergency Account Management,Access Control,Automatically temporary and emergency accounts after . Discussion Management of temporary and emergency accounts includes the removal or disabling of such accounts automatically after a predefined time period rather than at the convenience of the system administrator. Automatic removal or disabling of accounts provides a more consistent implementation.,AC-2,ac-02.02_odp.01: [Selection: remove; disable] | ac-02.02_odp.02: time period,AC-02(02): Temporary and emergency accounts are automatically after .,
AC-2(3),AC-02(03) - Disable Accounts,Access Control,"Disable accounts within when the accounts: (a) Have expired; (b) Are no longer associated with a user or individual; (c) Are in violation of organizational policy; or (d) Have been inactive for . Discussion Disabling expired, inactive, or otherwise anomalous accounts supports the concepts of least privilege and least functionality which reduce the attack surface of the system. Additional StateRAMP Requirements and Guidance: AC-2 (3) Requirement: The service provider defines the time period for non-user accounts (e.g., accounts associated with devices). The time periods are approved and accepted by the SAC/Sponsor. Where user management is a function of the service, reports of activity of consumer users shall be made available. AC-2 (3) (d) Requirement: The service provider defines the time period of inactivity for device identifiers.",AC-2,ac-02.03_odp.01: time period | ac-02.03_odp.02: time period,AC-02(03)(a): Accounts are disabled within when the accounts have expired; | AC-02(03)(b): Accounts are disabled within when the accounts are no longer associated with a user or individual; | AC-02(03)(c): Accounts are disabled within when the accounts are in violation of organizational policy; | AC-02(03)(d): Accounts are disabled within when the accounts have been inactive for .,
AC-2(4),AC-02(04) - Automated Audit Actions,Access Control,"Automatically audit account creation, modification, enabling, disabling, and removal actions. Discussion Account management audit records are defined in accordance with AU-2 and reviewed, analyzed, and reported in accordance with AU-6 .",AC-2,,AC-02(04)[01]: Account creation is automatically audited; | AC-02(04)[02]: Account modification is automatically audited; | AC-02(04)[03]: Account enabling is automatically audited; | AC-02(04)[04]: Account disabling is automatically audited; | AC-02(04)[05]: Account removal actions are automatically audited.,
AC-2(5),AC-02(05) - Inactivity Logout,Access Control,Require that users log out when . Discussion Inactivity logout is behavior- or policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period. Automatic enforcement of inactivity logout is addressed by AC-11 . Additional StateRAMP Requirements and Guidance: AC-2 (5) Guidance: Should use a shorter timeframe than AC-12.,AC-2,ac-02.05_odp: time period of expected inactivity or description of when to log out,AC-02(05): Users are required to log out when .,
AC-2(7),AC-02(07) - Privileged User Accounts,Access Control,"(a) Establish and administer privileged user accounts in accordance with ; (b) Monitor privileged role or attribute assignments; (c) Monitor changes to roles or attributes; and (d) Revoke access when privileged role or attribute assignments are no longer appropriate. Discussion Privileged roles are organization-defined roles assigned to individuals that allow those individuals to perform certain security-relevant functions that ordinary users are not authorized to perform. Privileged roles include key management, account management, database administration, system and network administration, and web administration. A role-based access scheme organizes permitted system access and privileges into roles. In contrast, an attribute-based access scheme specifies allowed system access and privileges based on attributes.",AC-2,ac-02.07_odp: [Selection: a role-based access scheme; an attribute-based access scheme],AC-02(07)(a): Privileged user accounts are established and administered in accordance with ; | AC-02(07)(b): Privileged role or attribute assignments are monitored; | AC-02(07)(c): Changes to roles or attributes are monitored; | AC-02(07)(d): Access is revoked when privileged role or attribute assignments are no longer appropriate.,
AC-2(9),AC-02(09) - Restrictions on Use of Shared and Group Accounts,Access Control,"Only permit the use of shared and group accounts that meet . Discussion Before permitting the use of shared or group accounts, organizations consider the increased risk due to the lack of accountability with such accounts. Additional StateRAMP Requirements and Guidance: AC-2 (9) Requirement: Required if shared/group accounts are deployed",AC-2,ac-02.09_odp: conditions,AC-02(09): The use of shared and group accounts is only permitted if are met.,
AC-2(12),AC-02(12) - Account Monitoring for Atypical Usage,Access Control,(a) Monitor system accounts for ; and (b) Report atypical usage of system accounts to . Discussion Atypical usage includes accessing systems at certain times of the day or from locations that are not consistent with the normal usage patterns of individuals. Monitoring for atypical usage may reveal rogue behavior by individuals or an attack in progress. Account monitoring may inadvertently create privacy risks since data collected to identify atypical usage may reveal previously unknown information about the behavior of individuals. Organizations assess and document privacy risks from monitoring accounts for atypical usage in their privacy impact assessment and make determinations that are in alignment with their privacy program plan. Additional StateRAMP Requirements and Guidance: AC-2 (12) (a) Requirement: Required for privileged accounts. AC-2 (12) (b) Requirement: Required for privileged accounts.,AC-2,ac-02.12_odp.01: atypical usage | ac-02.12_odp.02: personnel or roles,AC-02(12)(a): System accounts are monitored for ; | AC-02(12)(b): Atypical usage of system accounts is reported to .,
